index,structure_name,success,initial_energy,final_energy,energy_change,homo_lumo_gap,dipole_moment,error_message,relative_energy_kcal
33,edta_Co_conf4_pose40,True,,-77.804624137784,,1.1041000000000007,3.052,,0.0
34,edta_Co_conf1_pose10,True,,-76.72417576262,,1.3248999999999995,2.928,,677.9915916514904
43,edta_Co_conf1_pose15,True,,-74.83134681092,,1.8857999999999997,1.686,,1865.7596916241732
39,edta_Co_conf0_pose5,True,,-74.825555921769,,1.7828,1.611,,1869.3935294296755
20,edta_Co_conf4_pose45,True,,-74.824712484699,,1.9713000000000012,4.934,,1869.9227941818694
0,edta_Co_conf3_pose33,True,,-74.824709373897,,1.971899999999998,4.942,,1869.9247462396042
17,edta_Co_conf2_pose22,True,,-74.824707938527,,1.9728999999999992,4.95,,1869.925646947875
28,edta_Co_conf1_pose13,True,,-74.824707842578,,1.974499999999999,4.925,,1869.925707156785
48,edta_Co_conf0_pose3,True,,-74.824705371461,,1.972900000000001,4.951,,1869.9272578061139
7,edta_Co_conf2_pose24,True,,-74.806563474144,,1.7478999999999996,1.937,,1881.3114702500075
23,edta_Co_conf4_pose47,True,,-74.806545270517,,1.7459000000000007,1.941,,1881.322893198408
13,edta_Co_conf3_pose35,True,,-74.805705586422,,1.7271999999999998,1.811,,1881.8498029232487
14,edta_Co_conf3_pose34,True,,-74.804887364403,,2.1522000000000006,3.284,,1882.3632449920533
27,edta_Co_conf4_pose46,True,,-74.804880352559,,2.1483999999999988,3.267,,1882.3676449905972
32,edta_Co_conf1_pose12,True,,-74.800702670177,,1.9405999999999999,1.271,,1884.9891802649242
16,edta_Co_conf2_pose23,True,,-74.795274561909,,1.9609000000000005,4.952,,1888.3953696293386
35,edta_Co_conf0_pose4,True,,-74.79526893627,,1.9675000000000011,4.97,,1888.398899771103
45,edta_Co_conf1_pose14,True,,-74.79521780392,,2.0045,5.0,,1888.430985805165
42,edta_Co_conf0_pose1,True,,-74.794361729187,,1.4873999999999974,4.944,,1888.9681808106245
10,edta_Co_conf2_pose20,True,,-74.794360448729,,1.4827000000000012,4.957,,1888.9689843101557
24,edta_Co_conf4_pose43,True,,-74.794347703328,,1.479000000000001,4.996,,1888.9769821700304
37,edta_Co_conf1_pose11,True,,-74.794343561488,,1.4786000000000001,5.01,,1888.979581213867
4,edta_Co_conf3_pose31,True,,-74.794343521142,,1.4786000000000001,5.011,,1888.9796065313699
21,edta_Co_conf4_pose44,True,,-74.757237669242,,1.5425999999999984,2.951,,1912.2638801417988
11,edta_Co_conf2_pose21,True,,-74.757210691636,,1.5409000000000006,2.978,,1912.2808088451502
1,edta_Co_conf3_pose32,True,,-74.757185122499,,1.5389,2.985,,1912.2968537208667
46,edta_Co_conf0_pose2,True,,-74.757142249782,,1.532,3.022,,1912.323756756956
2,edta_Co_conf2_pose27,True,,-70.8402206304,,1.1986000000000008,1.485,,4370.229182081746
3,edta_Co_conf2_pose26,True,,-70.840215276998,,1.1931999999999992,1.714,,4370.232541392222
41,edta_Co_conf2_pose29,True,,-70.840214568928,,1.1953999999999994,1.612,,4370.232985712849
5,edta_Co_conf2_pose25,True,,-70.840213941597,,1.1958000000000002,1.529,,4370.233379368998
8,edta_Co_conf1_pose18,True,,-70.768948191014,,2.240999999999998,4.469,,4414.953313036045
18,edta_Co_conf3_pose37,True,,-70.765295352361,,1.4842999999999993,5.134,,4417.245503898033
44,edta_Co_conf2_pose28,True,,-70.758093043952,,0.9308000000000014,5.201,,4421.7650206598
26,edta_Co_conf4_pose49,True,,-70.750388066485,,2.089600000000001,5.851,,4426.599967017785
29,edta_Co_conf0_pose7,True,,-70.742483867523,,1.206500000000002,6.515,,4431.559926751317
36,edta_Co_conf3_pose38,True,,-70.735192570105,,1.956199999999999,6.444,,4436.135284959329
47,edta_Co_conf1_pose16,True,,-70.682030728185,,1.3843000000000014,5.062,,4469.494844422774
19,edta_Co_conf3_pose36,True,,-70.677938671932,,0.4314,3.12,,4472.062648489931
49,edta_Co_conf1_pose17,True,,-70.657370286074,,0.6743000000000023,7.345,,4484.969505482011
38,edta_Co_conf3_pose39,True,,-70.642056680272,,0.6853000000000016,2.588,,4494.578938204829
30,edta_Co_conf4_pose48,True,,-70.610947151388,,0.9572000000000003,2.999,,4514.10046231318
15,edta_Co_conf0_pose9,True,,-70.607006971506,,0.5566999999999993,7.009,,4516.572962518653
31,edta_Co_conf0_pose6,True,,-70.607002392178,,0.5547000000000004,6.96,,4516.575836090353
9,edta_Co_conf1_pose19,True,,-70.603369452999,,0.7708000000000013,12.8,,4518.855539843869
12,edta_Co_conf0_pose8,True,,-70.572981981394,,1.2253000000000007,2.334,,4537.923966168837
6,edta_Co_conf3_pose30,False,,,,,,Optimized geometry not found,
22,edta_Co_conf4_pose42,False,,,,,,Optimized geometry not found,
25,edta_Co_conf4_pose41,False,,,,,,Optimized geometry not found,
40,edta_Co_conf0_pose0,False,,,,,,Optimized geometry not found,
