index,structure,energy,success,homo_lumo_gap,dipole_moment
33,edta_Co_conf4_pose40_opt,-77.804620698697,True,1.1045999999999996,3.028
34,edta_Co_conf1_pose10_opt,-76.724175735088,True,1.3247,2.928
43,edta_Co_conf1_pose15_opt,-74.831347831667,True,1.8856999999999982,1.681
39,edta_Co_conf0_pose5_opt,-74.825556100478,True,1.7841999999999985,1.59
20,edta_Co_conf4_pose45_opt,-74.824712484699,True,1.9713000000000012,4.934
0,edta_Co_conf3_pose33_opt,-74.824709373941,True,1.971899999999998,4.942
16,edta_Co_conf2_pose22_opt,-74.824707938527,True,1.9728999999999992,4.95
29,edta_Co_conf1_pose13_opt,-74.824707842578,True,1.974499999999999,4.925
48,edta_Co_conf0_pose3_opt,-74.824705371366,True,1.972900000000001,4.951
7,edta_Co_conf2_pose24_opt,-74.806564412353,True,1.7478000000000016,1.933
24,edta_Co_conf4_pose47_opt,-74.806545280473,True,1.7460000000000004,1.941
13,edta_Co_conf3_pose35_opt,-74.805705272993,True,1.7273999999999994,1.808
15,edta_Co_conf3_pose34_opt,-74.804880293933,True,2.1518000000000015,3.303
27,edta_Co_conf4_pose46_opt,-74.804879439197,True,2.154300000000001,3.251
32,edta_Co_conf1_pose12_opt,-74.8007026701,True,1.9405999999999999,1.271
17,edta_Co_conf2_pose23_opt,-74.795274561909,True,1.9609000000000005,4.952
35,edta_Co_conf0_pose4_opt,-74.795269099836,True,1.9673000000000016,4.97
45,edta_Co_conf1_pose14_opt,-74.795217803591,True,2.0045,5.0
41,edta_Co_conf0_pose1_opt,-74.794361724989,True,1.4873999999999974,4.945
10,edta_Co_conf2_pose20_opt,-74.794358868951,True,1.482000000000001,4.956
23,edta_Co_conf4_pose43_opt,-74.794347703327,True,1.479000000000001,4.996
37,edta_Co_conf1_pose11_opt,-74.794343903976,True,1.4787999999999997,5.01
4,edta_Co_conf3_pose31_opt,-74.794343533105,True,1.4786000000000001,5.01
21,edta_Co_conf4_pose44_opt,-74.757237669242,True,1.5425999999999984,2.951
12,edta_Co_conf2_pose21_opt,-74.757210691779,True,1.5409000000000006,2.978
1,edta_Co_conf3_pose32_opt,-74.757185130552,True,1.5389,2.985
46,edta_Co_conf0_pose2_opt,-74.757142249837,True,1.532,3.022
42,edta_Co_conf2_pose29_opt,-70.840220610775,True,1.196299999999999,1.614
2,edta_Co_conf2_pose26_opt,-70.84021854198,True,1.1941000000000006,1.722
3,edta_Co_conf2_pose27_opt,-70.840217249281,True,1.1937999999999995,1.487
5,edta_Co_conf2_pose25_opt,-70.840215175722,True,1.197799999999999,1.542
8,edta_Co_conf1_pose18_opt,-70.768960983466,True,2.2390000000000008,4.461
19,edta_Co_conf3_pose37_opt,-70.765293000195,True,1.4809,5.139
44,edta_Co_conf2_pose28_opt,-70.758092392112,True,0.928799999999999,5.206
26,edta_Co_conf4_pose49_opt,-70.750388066379,True,2.089600000000001,5.851
28,edta_Co_conf0_pose7_opt,-70.742483079256,True,1.2066999999999997,6.521
36,edta_Co_conf3_pose38_opt,-70.735220084191,True,1.9527000000000019,6.461
47,edta_Co_conf1_pose16_opt,-70.682028991194,True,1.3820999999999994,5.055
18,edta_Co_conf3_pose36_opt,-70.677937036606,True,0.43230000000000146,3.122
49,edta_Co_conf1_pose17_opt,-70.657387366435,True,0.6736000000000004,7.361
38,edta_Co_conf3_pose39_opt,-70.642053597088,True,0.6834999999999987,2.594
30,edta_Co_conf4_pose48_opt,-70.610951832431,True,0.9560999999999993,2.98
14,edta_Co_conf0_pose9_opt,-70.607008146106,True,0.5550999999999995,7.008
31,edta_Co_conf0_pose6_opt,-70.606995019203,True,0.5538999999999987,6.933
9,edta_Co_conf1_pose19_opt,-70.60337945185,True,0.7677000000000014,12.893
11,edta_Co_conf0_pose8_opt,-70.570113880981,True,1.262299999999998,4.643
