index,structure_name,success,initial_energy,final_energy,energy_change,homo_lumo_gap,dipole_moment,error_message,relative_energy_kcal
33,edta_Co_conf4_pose40,True,,-77.804620698697,,1.1045999999999996,3.028,,0.0
34,edta_Co_conf1_pose10,True,,-76.724175735088,,1.3247,2.928,,677.989450868407
43,edta_Co_conf1_pose15,True,,-74.831347831667,,1.8856999999999982,1.681,,1865.7568930360749
39,edta_Co_conf0_pose5,True,,-74.825556100478,,1.7841999999999985,1.59,,1869.3912592284032
20,edta_Co_conf4_pose45,True,,-74.824712484699,,1.9713000000000012,4.934,,1869.9206361221886
0,edta_Co_conf3_pose33,True,,-74.824709373941,,1.971899999999998,4.942,,1869.9225881523062
16,edta_Co_conf2_pose22,True,,-74.824707938527,,1.9728999999999992,4.95,,1869.9234888881942
29,edta_Co_conf1_pose13,True,,-74.824707842578,,1.974499999999999,4.925,,1869.9235490971041
48,edta_Co_conf0_pose3,True,,-74.824705371366,,1.972900000000001,4.951,,1869.925099806046
7,edta_Co_conf2_pose24,True,,-74.806564412353,,1.7478000000000016,1.933,,1881.3087234552916
